⺀	(⺀,Ye,,部首補充)
𧲝	(彳{五下}口豕,XiQwOvBi,wèi,CJK-B)
𧲞	(彳{五下}口巾,XiQwOvVj,,CJK-B)
𧲟	(豕豕示虫,BiBiDiAo,,CJK-B)
𧲠	(豸乚,EzKn,,CJK-B)
𧲡	(豸力,EzWl,lì,CJK-B)
𧲢	(豸丿七,EzMpWi,zhé,CJK-B)
𧲣	(豸寸,EzAc,,CJK-B)
𧲤	(豸牛,EzTn,yóng,CJK-B)
𧲥	(豸日,EzJr,hú,CJK-B)
𧲦	(豸一兀,EzFiPw,wán_hé,CJK-B)
𧲧	(豸巴,EzNb,bā,CJK-B)
𧲨	(豸一卄,EzFiSc,jiān,CJK-B)
𧲩	(豸月,EzWy,,CJK-B)
𧲪	(豸亠几,EzLtDj,,CJK-B)
𧲫	(豸乃乀,EzVnLd,,CJK-B)
𧲬	(豸口乂,EzOvCi,,CJK-B)
𧲭	(豸{左上}工,EzSzKg,zuǒ,CJK-B)
𧲮	(豸𠂉{乍下},EzAvNv,zhǎn,CJK-B)
𧲯	(豸{左上}又丶,EzSzBoLd,bō,CJK-B)
𧲰	(豸斤一,EzCjFi,qiū_chū,CJK-B)
𧲱	(豸冂大,EzPkUd,yāng,CJK-B)
𧲲	(豸瓜,EzBg,,CJK-B)
𧲳	(豸勹乂凵,EzHbCiDk,,CJK-B)
𧲴	(豸夊⺀,EzEuYe,dōng,CJK-B)
𧲵	(豸又土,EzBoGt,qú,CJK-B)
𧲶	(豸丿犬,EzMpLq,,CJK-B)
𧲷	(豸木丶,EzFmLd,,CJK-B)
𧲸	(豸卜口,EzNvOv,,CJK-B)
𧲹	(豸由,EzAy,,CJK-B)
𧲺	(豸干丷,EzNgQd,pí,CJK-B)
𧲻	(豸口八,EzOvUa,zhǎi,CJK-B)
𧲼	(豸勹巳,EzHbNi,,CJK-B)
𧲽	(豸匚コ,EzWfBo,,CJK-B)
𧲾	(豸冊一,EzIcFi,shān,CJK-B)
𧲿	(豸⺁一口,EzCjFiOv,gòu,CJK-B)
𧳀	(豸巛山,EzJcTs,biào_nǎo,CJK-B)
𧳁	(豸夕夕,EzUxUx,yí,CJK-B)
𧳂	(豸亻犬,EzEeLq,fú,CJK-B)
𧳃	(豸虫,EzAo,,CJK-B)
𧳄	(豸{囟框}乂,EzDxCi,xìn,CJK-B)
𧳅	(豸一口乂,EzFiOvCi,shì_shǐ,CJK-B)
𧳆	(豸冂一口,EzPkFiOv,tōng_tóng,CJK-B)
𧳇	(豸合,EzRh,,CJK-B)
𧳈	(豸臼,EzHj,,CJK-B)
𧳉	(豸䒑卄,EzQdSc,dīng,CJK-B)
𧳊	(豸冖用,EzPiIy,,CJK-B)
𧳋	(豸丷弓丿,EzQdPgMp,,CJK-B)
𧳌	(豸禾几,EzVeDj,tū,CJK-B)
𧳍	(豸小月,EzViWy,xiāo,CJK-B)
𧳎	(豸一{五下}口,EzFiQwOv,wú,CJK-B)
𧳏	(豸不口,EzObOv,péi,CJK-B)
𧳐	(豸乂{左上}巾,EzCiSzVj,huī_xī,CJK-B)
𧳑	(豸尤彡,EzKyHp,,CJK-B)
𧳒	(豸貝,EzXb,,CJK-B)
𧳓	(豸丶艮,EzLdMg,,CJK-B)
𧳔	(豸一冂一,EzFiPkFi,,CJK-B)
𧳕	(豸一米,EzFiTm,lái,CJK-B)
𧳖	(豸白八,EzDaUa,,CJK-B)
𧳗	(豸大巴,EzUdNb,,CJK-B)
𧳘	(豸人丶口,EzReLdOv,,CJK-B)
𧳙	(豸彐水,EzXjHs,sì,CJK-B)
𧳚	(豸亠人十,EzLtReQi,cuǐ,CJK-B)
𧳛	(豸立女,EzAlRn,shà,CJK-B)
𧳜	(豸⺆土口,EzHbGtOv,zhǒu,CJK-B)
𧳝	(豸卜早,EzNvTo,zhào,CJK-B)
𧳞	(豸隹,EzYz,wéi,CJK-B)
𧳟	(豸來,EzCl,lái,CJK-B)
𧳠	(豸田丌,EzYtYj,bì_bǐ,CJK-B)
𧳡	(豸亻一乂,EzEeFiCi,,CJK-B)
𧳢	(豸日匕匕,EzJrIbIb,,CJK-B)
𧳣	(豸木日,EzFmJr,dǒng,CJK-B)
𧳤	(豸亻夕夕,EzEeUxUx,,CJK-B)
𧳥	(豸爪木,EzBzFm,,CJK-B)
𧳦	(豸巛{囟框}乂,EzJcDxCi,nǎo,CJK-B)
𧳧	(豸匕匕白,EzIbIbDa,xiē,CJK-B)
𧳨	(豸予丿木,EzMuMpFm,rǎo,CJK-B)
𧳩	(豸{互中}豕,EzWuBi,tuàn,CJK-B)
𧳪	(豸田月,EzYtWy,wèi,CJK-B)
𧳫	(豸丷酉,EzQdVo,yóu_jiū_qiú_yòu,CJK-B)
𧳬	(豸{眉上}目,EzYsRm,méi,CJK-B)
𧳭	(豸爪干又,EzBzNgBo,yuán,CJK-B)
𧳮	(豸千里,EzYqGl,zhòng,CJK-B)
𧳯	(豸耂日,EzGtJr,,CJK-B)
𧳰	(豸冖車,EzPiNc,,CJK-B)
𧳱	(豸丿乛儿,EzMpViNe,,CJK-B)
𧳲	(豸{反彐}而,EzXjPe,,CJK-B)
𧳳	(豸丰刀卄,EzLfIaSc,,CJK-B)
𧳴	(豸{囟框}乂卄,EzDxCiSc,,CJK-B)
𧳵	(豸甫寸,EzSfAc,,CJK-B)
𧳶	(豸臼丨又,EzHjIvBo,sōu,CJK-B)
𧳷	(豸口貝,EzOvXb,,CJK-B)
𧳸	(豸骨,EzWv,gú,CJK-B)
𧳹	(豸勹屮屮,EzHbDcDc,shào,CJK-B)
𧳺	(豸刀丶止,EzIaLdNz,,CJK-B)
𧳻	(豸爪虫,EzBzAo,zhǎo,CJK-B)
𧳼	(豸口丷丿,EzOvQdMp,pí,CJK-B)
𧳽	(豸卯田,EzGmYt,,CJK-B)
𧳾	(豸大士巴,EzUdGiNb,,CJK-B)
𧳿	(豸千里乚,EzYqGlKn,tōng,CJK-B)
𧴀	(豸冖冂匕,EzPiPkIb,,CJK-B)
𧴁	(豸文凵厶,EzRwDkKs,chī,CJK-B)
𧴂	(豸夊丰辶,EzEuLfHc,péng,CJK-B)
𧴃	(豸車斤,EzNcCj,chán,CJK-B)
𧴄	(豸广肀月,EzLaXjWy,yōng,CJK-B)
𧴅	(豸大乂乂,EzUdCiCi,shuǎng,CJK-B)
𧴆	(豸{虎头}业,EzMhLy,,CJK-B)
𧴇	(豸爪彐龰,EzBzXjNz,wǔ,CJK-B)
𧴈	(豸立日儿,EzAlJrNe,,CJK-B)
𧴉	(豸日丷丿,EzJrQdMp,pí,CJK-B)
𧴊	(豸口口心,EzOvOvTi,huàn,CJK-B)
𧴋	(豸西示,EzSiDi,,CJK-B)
𧴌	(豸业䒑夫,EzLyQdKf,fú,CJK-B)
𧴍	(豸十卄貝,EzQiScXb,,CJK-B)
𧴎	(豸止止止,EzNzNzNz,biào,CJK-B)
𧴏	(豸舟舟,EzQoQo,,CJK-B)
𧴐	(豸人文厶,EzReRwKs,,CJK-B)
𧴑	(豸爪{爲下},EzBzJw,,CJK-B)
𧴒	(豸士冖䒑,EzGiPiQd,,CJK-B)
𧴓	(豸而而,EzPePe,náo,CJK-B)
𧴔	(豸黑,EzQh,,CJK-B)
𧴕	(豸心心心,EzTiTiTi,biào,CJK-B)
𧴖	(豸止戊小,EzNzMwVi,wèi,CJK-B)
𧴗	(豸亠{纟上}隹,EzLtNjYz,yōng,CJK-B)
𧴘	(豸{虎头}豕,EzMhBi,,CJK-B)
𧴙	(豸刀丶止,EzIaLdNz,nǎo,CJK-B)
𧴚	(豸人一日,EzReFiJr,guài,CJK-B)
𧴛	(豸冖用牛,EzPiIyTn,,CJK-B)
𧴜	(豸口口木,EzOvOvFm,,CJK-B)
𧴝	(豸氵卄入,EzIsScPr,,CJK-B)
𧴞	(豸日厶匕,EzJrKsIb,,CJK-B)
𧴟	(豸艹夊辶,EzScEuHc,,CJK-B)
𧴠	(豸厂禾止,EzMcVeNz,lì,CJK-B)
𧴡	(豸木口貝,EzFmOvXb,,CJK-B)
𧴢	(豸目目且,EzRmRmHq,xìn,CJK-B)
𧴣	(豸口口夊,EzOvOvEu,yán,CJK-B)
𧴤	(貝卜,XbNv,pò,CJK-B)
𧴥	(力貝,WlXb,péi,CJK-B)
𧴦	(匕貝,IbXb,,CJK-B)
𧴧	(貝力,XbWl,,CJK-B)
𧴨	(亠貝,LtXb,,CJK-B)
𧴩	(貝八,XbUa,,CJK-B)
𧴪	(小貝,ViXb,suǒ,CJK-B)
𧴫	(貝寸,XbAc,,CJK-B)
𧴬	(貝刀丶,XbIaLd,rèn,CJK-B)
𧴭	(彡貝,HpXb,shǎn,CJK-B)
𧴮	(弋貝,MiXb,,CJK-B)
𧴯	(貝子,XbKz,,CJK-B)
𧴰	(貝弋,XbMi,,CJK-B)
𧴱	(貝女,XbRn,,CJK-B)
𧴲	(巛貝,JcXb,suǒ,CJK-B)
𧴳	(二厶貝,YeKsXb,,CJK-B)
𧴴	(日貝,JrXb,,CJK-B)
𧴵	(厶厶貝,KsKsXb,,CJK-B)
𧴶	(貝七十,XbWiQi,,CJK-B)
𧴷	(貝丅乚丿,XbJxKnMp,,CJK-B)
𧴸	(貝冖儿,XbPiNe,dān,CJK-B)
𧴹	(龷貝,ScXb,,CJK-B)
𧴺	(丿幺貝,MpTaXb,mèn,CJK-B)
𧴻	(文貝,RwXb,,CJK-B)
𧴼	(貝⺀十,XbYeQi,,CJK-B)
𧴽	(貝王,XbJw,,CJK-B)
𧴾	(尸乀貝,YsLdXb,,CJK-B)
𧴿	(木貝,FmXb,,CJK-B)
𧵀	(貝一口,XbFiOv,,CJK-B)
𧵁	(貝小丿,XbViMp,,CJK-B)
𧵂	(貝月,XbWy,,CJK-B)
𧵃	(貝手,XbOs,shǒu,CJK-B)
𧵄	(貝{卬左}七,XbGmWi,,CJK-B)
𧵅	(貝巴,XbNb,,CJK-B)
𧵆	(貝斤,XbCj,,CJK-B)
𧵇	(貝一幺,XbFiTa,,CJK-B)
𧵈	(貝勹厶,XbHbKs,gòu,CJK-B)
𧵉	(貝冖小,XbPiVi,,CJK-B)
𧵊	(貝卄二,XbScYe,hān_hàn_tàn,CJK-B)
𧵋	(貝示,XbDi,shì,CJK-B)
𧵌	(貝冂大,XbPkUd,yǎng,CJK-B)
𧵍	(夕㔾貝,UxViXb,,CJK-B)
𧵎	(古貝,IuXb,gǔ,CJK-B)
𧵏	(夕卜貝,UxNvXb,,CJK-B)
𧵐	(貝口乛乀,XbOvViLd,,CJK-B)
𧵑	(貝古,XbIu,,CJK-B)
𧵒	(宀丁貝,KbDdXb,,CJK-B)
𧵓	(貝刀口,XbIaOv,,CJK-B)
𧵔	(石貝,UsXb,,CJK-B)
𧵕	(丶水貝,LdHsXb,,CJK-B)
𧵖	(貝未,XbDw,,CJK-B)
𧵗	(田貝,YtXb,,CJK-B)
𧵘	(貝冂土,XbPkGt,,CJK-B)
𧵙	(貝口八,XbOvUa,,CJK-B)
𧵚	(夕又貝,UxBoXb,,CJK-B)
𧵛	(貝丁口,XbDdOv,kē,CJK-B)
𧵜	(丁巛貝,DdJcXb,,CJK-B)
𧵝	(貝戈乚,XbMeKn,,CJK-B)
𧵞	(口九貝,OvTjXb,jū,CJK-B)
𧵟	(貝瓜,XbBg,,CJK-B)
𧵠	(屮凵貝,DcDkXb,pài,CJK-B)
𧵡	(貝⺆⺆一,XbHbHbFi,cè,CJK-B)
𧵢	(貝勹巳,XbHbNi,bāo,CJK-B)
𧵣	(貝勹日,XbHbJr,xiōng_mín,CJK-B)
𧵤	(貝宀寸,XbKbAc,cái_zhù,CJK-B)
𧵥	(貝冖厂㔾,XbPiMcVi,,CJK-B)
𧵦	(貝小兀,XbViPw,,CJK-B)
𧵧	(貝乂{左上}厶,XbCiSzKs,lǐn,CJK-B)
𧵨	(貝宀女,XbKbRn,ài,CJK-B)
𧵩	(木冂貝,FmPkXb,,CJK-B)
𧵪	(貝戈刀,XbMeIa,,CJK-B)
𧵫	(貝丨尸コ,XbIvYsBo,,CJK-B)
𧵬	(貝⺁𧘇,XbCjSi,mì_shèn,CJK-B)
𧵭	(一卄貝,FiScXb,lǎi,CJK-B)
𧵮	(貝乂凵儿,XbCiDkNe,,CJK-B)
𧵯	(乚日一貝,KnJrFiXb,,CJK-B)
𧵰	(亻止貝,EeNzXb,,CJK-B)
𧵱	(厶厶厶貝,KsKsKsXb,xiāo,CJK-B)
𧵲	(一夕匕貝,FiUxIbXb,,CJK-B)
𧵳	(貝舌,XbSs,shé,CJK-B)
𧵴	(貝宀一{于下},XbKbFiAc,,CJK-B)
𧵵	(貝米,XbTm,,CJK-B)
𧵶	(貝戈二,XbMeYe,,CJK-B)
𧵷	(貝龶夊,XbHqEu,,CJK-B)
𧵸	(戈二貝,MeYeXb,,CJK-B)
𧵹	(一彐丿貝,FiXjMpXb,,CJK-B)
𧵺	(貝牛八,XbTnUa,,CJK-B)
𧵻	(貝弋工,XbMiKg,huó,CJK-B)
𧵼	(至貝,UzXb,nì,CJK-B)
𧵽	(冂乂乂貝,PkCiCiXb,,CJK-B)
𧵾	(貝亠水,XbLtHs,,CJK-B)
𧵿	(宀寸貝,KbAcXb,,CJK-B)
𧶀	(厶貝二厶,KsXbYeKs,,CJK-B)
𧶁	(彐土貝,XjGtXb,,CJK-B)
𧶂	(貝戊丶,XbMwLd,,CJK-B)
𧶃	(予卜貝,MuNvXb,,CJK-B)
𧶄	(貝冖彐亅,XbPiXjVi,zhèng,CJK-B)
𧶅	(貝𠂉母,XbAvWu,,CJK-B)
𧶆	(貝文口,XbRwOv,lìn,CJK-B)
𧶇	(貝扌斤,XbCoCj,zhá,CJK-B)
𧶈	(貝小月,XbViWy,,CJK-B)
𧶉	(宀一兀貝,KbFiPwXb,,CJK-B)
𧶊	(口貝二厶,OvXbYeKs,yún,CJK-B)
𧶋	(貝耳乚,XbMrKn,,CJK-B)
𧶌	(十冖一貝,QiPiFiXb,,CJK-B)
𧶍	(貝戈幺,XbMeTa,xù,CJK-B)
𧶎	(宀丅一貝,KbJxFiXb,,CJK-B)
𧶏	(不口貝,ObOvXb,,CJK-B)
𧶐	(土人人貝,GtReReXb,,CJK-B)
𧶑	(山{眉上}貝,TsYsXb,,CJK-B)
𧶒	(戈口貝,MeOvXb,,CJK-B)
𧶓	(夭工貝,VyKgXb,,CJK-B)
𧶔	(貝口王,XbOvJw,chéng,CJK-B)
𧶕	(貝丿扌戈,XbMpCoMe,wǒ,CJK-B)
𧶖	(貝乂{左上}巾,XbCiSzVj,xī,CJK-B)
𧶗	(貝人丶口,XbReLdOv,,CJK-B)
𧶘	(大人人貝,UdReReXb,,CJK-B)
𧶙	(丬匕冖貝,JqIbPiXb,bèi,CJK-B)
𧶚	(十卄一貝,QiScFiXb,,CJK-B)
𧶛	(貝來,XbCl,,CJK-B)
𧶜	(亠丷冖貝,LtQdPiXb,shāng_shǎng,CJK-B)
𧶝	(丌匚コ貝,YjWfBoXb,,CJK-B)
𧶞	(貝囗禾,XbXwVe,,CJK-B)
𧶟	(貝人舌,XbReSs,,CJK-B)
𧶠	(士囗儿貝,GiXwNeXb,yù,CJK-B)
𧶡	(宀心丿貝,KbTiMpXb,mì,CJK-B)
𧶢	(癶弓貝,BoPgXb,,CJK-B)
𧶣	(亻弋工貝,EeMiKgXb,,CJK-B)
𧶤	(戈戈貝,MeMeXb,,CJK-B)
𧶥	(貝二{介下}{介下},XbYeUaUa,,CJK-B)
𧶦	(火人人貝,ThReReXb,,CJK-B)
𧶧	(貝日日,XbJrJr,,CJK-B)
𧶨	(貝日灬,XbJrTo,,CJK-B)
𧶩	(貝龷二{介下},XbScYeUa,,CJK-B)
𧶪	(一巾入貝,FiVjPrXb,,CJK-B)
𧶫	(貝龶𧘇,XbHqSi,,CJK-B)
𧶬	(貝女日一,XbRnJrFi,,CJK-B)
𧶭	(貝大十卄,XbUdQiSc,,CJK-B)
𧶮	(貝囗古,XbXwIu,,CJK-B)
𧶯	(冖貝龷八,PiXbScUa,,CJK-B)
𧶰	(貝亠厶月,XbLtKsWy,,CJK-B)
𧶱	(貝彳土寸,XbXiGtAc,,CJK-B)
𧶲	(貝山而,XbTsPe,duǎn_zhuàn,CJK-B)
𧶳	(貝乛龰月,XbViNzWy,,CJK-B)
𧶴	(貝广卄又,XbLaScBo,,CJK-B)
𧶵	(貝千臼,XbYqHj,chà,CJK-B)
𧶶	(罒貝⺁又,KwXbCjBo,fàn,CJK-B)
𧶷	(一止龶貝,FiNzHqXb,zé,CJK-B)
𧶸	(貝卜貝,XbNvXb,chèng,CJK-B)
𧶹	(貝貝几,XbXbDj,,CJK-B)
𧶺	(貝{亮頭}丁,XbLgDd,tíng,CJK-B)
𧶻	(乛匚一貝,ViWfFiXb,,CJK-B)
𧶼	(宀龷八貝,KbScUaXb,,CJK-B)
𧶽	(貝日一{两撇},XbJrFiHp,,CJK-B)
𧶾	(貝羊大,XbHvUd,,CJK-B)
𧶿	(貝其乚,XbTqKn,,CJK-B)
𧷀	(土尸乀貝,GtYsLdXb,,CJK-B)
𧷁	(卜冖一八,NvPiFiUa,,CJK-B)
𧷂	(貝禾火,XbVeTh,,CJK-B)
𧷃	(貝亻三殳,XbEeJaDs,,CJK-B)
𧷄	(車又貝,NcBoXb,,CJK-B)
𧷅	(冂又口貝,PkBoOvXb,yí,CJK-B)
𧷆	(貝方𠂉也,XbNfAvJe,,CJK-B)
𧷇	(肀一火貝,XjFiThXb,,CJK-B)
𧷈	(臼丨一貝,HjIvFiXb,,CJK-B)
𧷉	(貝冖八丷,XbPiUaQd,,CJK-B)
𧷊	(貝千人凵,XbYqReDk,,CJK-B)
𧷋	(西女貝,SiRnXb,yāo,CJK-B)
𧷌	(貝士示又,XbGiDiBo,,CJK-B)
𧷍	(米夊貝,TmEuXb,,CJK-B)
𧷎	(卜冖一土,NvPiFiGt,kū,CJK-B)
𧷏	(土八罒貝,GtUaKwXb,,CJK-B)
𧷐	(八刀十貝,UaIaQiXb,fén,CJK-B)
𧷑	(虫{卬左}七貝,AoGmWiXb,xié,CJK-B)
𧷒	(貝十且八,XbQiHqUa,chèng,CJK-B)
𧷓	(屮凵罒貝,DcDkKwXb,,CJK-B)
𧷔	(亠丷丨貝,LtQdIvXb,,CJK-B)
𧷕	(木口欠貝,FmOvSqXb,,CJK-B)
𧷖	(來力貝,ClWlXb,,CJK-B)
𧷗	(士囗八貝,GiXwUaXb,,CJK-B)
𧷘	(貝户习习,XbDvBiBi,,CJK-B)
𧷙	(臣殳貝,DeDsXb,,CJK-B)
𧷚	(貝八人女,XbUaReRn,,CJK-B)
𧷛	(貝鬼,XbXg,kuì,CJK-B)
𧷜	(貝八厶习,XbUaKsBi,,CJK-B)
𧷝	(口欠口貝,OvSqOvXb,,CJK-B)
𧷞	(亠丷冖貝,LtQdPiXb,,CJK-B)
𧷟	(八刀宀貝,UaIaKbXb,bīn,CJK-B)
𧷠	(虎彡貝,MhHpXb,,CJK-B)
𧷡	(貝口十女,XbOvQiRn,lóu_lòu,CJK-B)
𧷢	(貝戊臣,XbMwDe,,CJK-B)
𧷣	(貝巛日木,XbJcJrFm,,CJK-B)
𧷤	(丨臣龶貝,IvDeHqXb,,CJK-B)
𧷥	(足殳貝,JzDsXb,yì,CJK-B)
𧷦	(貝宀心山,XbKbTiTs,mì,CJK-B)
𧷧	(卜冂丶貝,NvPkLdXb,xiè,CJK-B)
𧷨	(土八冖貝,GtUaPiXb,,CJK-B)
𧷩	(干干口貝,NgNgOvXb,,CJK-B)
𧷪	(冖厂㔾貝,PiMcViXb,,CJK-B)
𧷫	(广羊八貝,LaHvUaXb,,CJK-B)
𧷬	(貝丷夫目,XbQdKfRm,,CJK-B)
𧷭	(丷貝{亮頭}丁,QdXbLgDd,,CJK-B)
𧷮	(亠丷冂貝,LtQdPkXb,,CJK-B)
𧷯	(口貝立口,OvXbAlOv,,CJK-B)
𧷰	(貝日貝,XbJrXb,,CJK-B)
𧷱	(工貝十木,KgXbQiFm,guī,CJK-B)
𧷲	(貝十戈凵,XbQiMeDk,,CJK-B)
𧷳	(貝田糸,XbYtPs,luó,CJK-B)
𧷴	(亻咼貝,EeVkXb,,CJK-B)
𧷵	(屮凵冂貝,DcDkPkXb,,CJK-B)
𧷶	(貝羊古,XbHvIu,shàn,CJK-B)
𧷷	(屮一囗貝,DcFiXwXb,,CJK-B)
𧷸	(貝艹日大,XbScJrUd,,CJK-B)
𧷹	(貝⺧口辶,XbTnOvHc,,CJK-B)
𧷺	(口貝人冊,OvXbReIc,,CJK-B)
𧷻	(貝龷貝,XbScXb,,CJK-B)
𧷼	(貝火火火,XbThThTh,,CJK-B)
𧷽	(舟丷夫貝,QoQdKfXb,,CJK-B)
𧷾	(貝予丿口,XbMuMpOv,jú,CJK-B)
𧷿	(貝耂日阝,XbGtJrBf,dū,CJK-B)
𧸀	(貝而而,XbPePe,,CJK-B)
𧸁	(丷巾八貝,QdVjUaXb,,CJK-B)
𧸂	(貝乛耳夊,XbViMrEu,xiān,CJK-B)
𧸃	(貝口丄貝,XbOvKsXb,,CJK-B)
𧸄	(貝十戈𧘇,XbQiMeSi,,CJK-B)
𧸅	(貝业丷八,XbLyQdUa,zhǐ,CJK-B)
𧸆	(屮凵示貝,DcDkDiXb,,CJK-B)
𧸇	(土八囗貝,GtUaXwXb,,CJK-B)
𧸈	(心丿宀貝,TiMpKbXb,bìn,CJK-B)
𧸉	(貝立日戈,XbAlJrMe,,CJK-B)
𧸊	(貝世貝,XbGsXb,,CJK-B)
𧸋	(䒑臼人貝,QdHjReXb,,CJK-B)
𧸌	(貝立里,XbAlGl,,CJK-B)
𧸍	(貝米夕ヰ,XbTmUxEk,,CJK-B)
𧸎	(貝穴皿丁,XbWxXmDd,,CJK-B)
𧸏	(貝罒貝,XbKwXb,,CJK-B)
𧸐	(貝弋二貝,XbMiYeXb,,CJK-B)
𧸑	(丷日丷貝,QdJrQdXb,,CJK-B)
𧸒	(矢一口貝,AiFiOvXb,,CJK-B)
𧸓	(貝氵耂日,XbIsGtJr,,CJK-B)
𧸔	(貝文一止,XbRwFiNz,,CJK-B)
𧸕	(貝业丨入,XbLyIvPr,zhǐ,CJK-B)
𧸖	(貝广䒑八,XbLaQdUa,zhuàn_lián,CJK-B)
𧸗	(貝止戊小,XbNzMwVi,xué,CJK-B)
𧸘	(貝僉,XbRq,liàn_biǎn_jiǎn,CJK-B)
𧸙	(貝䒑豕辶,XbQdBiHc,suì,CJK-B)
𧸚	(貝足夊口,XbJzEuOv,,CJK-B)
𧸛	(广亻隹貝,LaEeYzXb,,CJK-B)
𧸜	(貝立丿八,XbAlMpUa,,CJK-B)
𧸝	(士罒貝キ,GiKwXbEk,,CJK-B)
𧸞	(屮凵方貝,DcDkNfXb,,CJK-B)
𧸟	(屮凵方貝,DcDkNfXb,,CJK-B)
𧸠	(文戈心貝,RwMeTiXb,,CJK-B)
𧸡	(貝羊丿戈,XbHvMpMe,,CJK-B)
𧸢	(貝业羊八,XbLyHvUa,,CJK-B)
𧸣	(貝小丿厶,XbViMpKs,,CJK-B)
𧸤	(貝人一日,XbReFiJr,,CJK-B)
𧸥	(貝止八貝,XbNzUaXb,,CJK-B)
𧸦	(貝臣{⺮右}皿,XbDeAvXm,làn,CJK-B)
𧸧	(臼丂丄貝,HjEkKsXb,jù,CJK-B)
𧸨	(貝白穴方,XbDaWxNf,mián,CJK-B)
𧸩	(貝{虎头}一目,XbMhFiRm,xùn,CJK-B)
𧸪	(貝厂里土,XbMcGlGt,zhàn,CJK-B)
𧸫	(口貝亠𧘇,OvXbLtSi,gùn,CJK-B)
𧸬	(千黑貝,YqQhXb,,CJK-B)
𧸭	(貝习习隹,XbBiBiYz,,CJK-B)
𧸮	(貝{微上}一几,XbXiFiDj,,CJK-B)
𧸯	(日一龰貝,JrFiNzXb,,CJK-B)
𧸰	(貝車一工,XbNcFiKg,,CJK-B)
𧸱	(貝厂艹禺,XbMcScLu,,CJK-B)
𧸲	(貝斤斤貝,XbCjCjXb,zhì,CJK-B)
𧸳	(貝广里土,XbLaGlGt,,CJK-B)
𧸴	(貝宀大小,XbKbUdVi,,CJK-B)
𧸵	(貝貝穴工,XbXbWxKg,,CJK-B)
𧸶	(金一巛貝,KjFiJcXb,,CJK-B)
𧸷	(士罒貝丶,GiKwXbLd,,CJK-B)
𧸸	(貝冖厂言,XbPiMcUy,,CJK-B)
𧸹	(宀臼勹貝,KbHjHbXb,,CJK-B)
𧸺	(貝穴身弓,XbWxRsPg,,CJK-B)
𧸻	(貝髟丩丶,XbWbDjLd,,CJK-B)
𧸼	(貝广龷八,XbLaScUa,,CJK-B)
𧸽	(貝口丄辶,XbOvKsHc,wèi,CJK-B)
𧸾	(虎一弋貝,MhFiMiXb,quǎn_xuàn,CJK-B)
𧸿	(貝宀臼灬,XbKbHjTo,chài,CJK-B)
𧹀	(貝艹肀一,XbScXjFi,,CJK-B)
𧹁	(一弋止貝,FiMiNzXb,,CJK-B)
𧹂	(虎虎貝,MhMhXb,,CJK-B)
𧹃	(工貝夊貝,KgXbEuXb,,CJK-B)
𧹄	(立早人貝,AlToReXb,,CJK-B)
𧹅	(土土土貝,GtGtGtXb,,CJK-B)
𧹆	(宀示宀貝,KbDiKbXb,,CJK-B)
𧹇	(貝臼囗厶,XbHjXwKs,,CJK-B)
𧹈	(貝貝貝大,XbXbXbUd,réng,CJK-B)
𧹉	(立早人貝,AlToReXb,,CJK-B)
𧹊	(貝{龠頭}冊,XbRhIc,yuè,CJK-B)
𧹋	(亻弋貝{爲下},EeMiXbJw,,CJK-B)
𧹌	(士冖一貝,GiPiFiXb,zī,CJK-B)
𧹍	(小兀⺧貝,ViPwTnXb,,CJK-B)
𧹎	(貝土八貝,XbGtUaXb,,CJK-B)
𧹏	(貝⺧儿貝,XbTnNeXb,,CJK-B)
𧹐	(貝罒糹隹,XbKwPsYz,luò,CJK-B)
𧹑	(贝丶力丶,CeLdWlLd,guì,CJK-B)
𧹒	(罒贝,KwCe,,CJK-B)
𧹓	(贝口王,CeOvJw,chéng,CJK-B)
𧹔	(贝長,CeWz,,CJK-B)
𧹕	(贝尸古,CeYsIu,jū,CJK-B)
𧹖	(贝冂龷八,CePkScUa,tiǎn,CJK-B)
𧹗	(贝口口心,CeOvOvTi,wàn,CJK-B)
𧹘	(龷{介下}八,ScUaUa,,CJK-B)
𧹙	(土{介下}八丁,GtUaUaDd,,CJK-B)
𧹚	(丁土{介下}八,DdGtUaUa,,CJK-B)
𧹛	(土{介下}八又,GtUaUaBo,zhī,CJK-B)
𧹜	(土{介下}八乀,GtUaUaLd,,CJK-B)
𧹝	(土{介下}八⺀,GtUaUaYe,,CJK-B)
𧹞	(土{介下}八皮,GtUaUaEp,nǎn_niǎn,CJK-B)
𧹟	(土{介下}八匕,GtUaUaIb,,CJK-B)
𧹠	(土{介下}八丶,GtUaUaLd,,CJK-B)
𧹡	(土{介下}八日,GtUaUaJr,,CJK-B)
𧹢	(土{介下}八大,GtUaUaUd,,CJK-B)
𧹣	(土{介下}八口,GtUaUaOv,hān,CJK-B)
𧹤	(土{介下}八足,GtUaUaJz,,CJK-B)
𧹥	(土{介下}八土,GtUaUaGt,,CJK-B)
𧹦	(土{介下}八見,GtUaUaLj,,CJK-B)
𧹧	(土{介下}八乚,GtUaUaKn,,CJK-B)
𧹨	(龷日土八,ScJrGtUa,xī,CJK-B)
𧹩	(土{介下}八日,GtUaUaJr,lín,CJK-B)
𧹪	(土{介下}八冊,GtUaUaIc,,CJK-B)
𧹫	(木木土八,FmFmGtUa,,CJK-B)
𧹬	(土{介下}八土,GtUaUaGt,yān,CJK-B)
𧹭	(土{介下}八田,GtUaUaYt,xù,CJK-B)
